LOJA,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52
L01,4.55219883990106,5.09158035305164,5.20020362792282,4.94217169543559,4.79217295537016,4.68871521172994,4.6708781275803,4.53156213209799,4.08913784706137,4.54767298834029,4.43283987130173,4.38222742342262,4.19385818018984,4.34992266889467,4.28158984814966,3.86503860450838,3.52365437772341,4.11435717251608,4.02546245546246,4.42301959286505,4.24155479041646,4.04796679252626,4.19682765689468,4.07468093129109,3.68233415801914,3.79827463339761,4.12191381739769,4.08963567767609,4.09780792860961,4.05108759209558,3.89048245766237,3.94623116493851,3.86634206475256,4.08335904955861,3.88028715551717,4.24602409293077,4.13895270904985,4.26407862169233,3.7884823036123,4.05698658932963,4.05664619254909,4.13799496558805,4.05788122575304,4.05369687792375,4.18588582275794,4.12208463373809,4.01988472397784,4.17403109774317,4.14389527302462,4.32464006858536,4.41483225243698,4.06851320078523
L02,-0.0599561416993004,0.128090284075238,0.367743750236761,0.176491963644008,0.0276858949311846,0.130066837354076,0.185068781034296,0.285169400689025,-0.0732037183862989,-0.196329846320343,-0.00374734536111668,-0.0265836239185132,0.0119680128859701,-0.121209422080544,-0.0583730814690591,-0.278008440305011,-0.0736569057677341,0.0173486839679909,0.268106678361723,0.307144534331727,0.280526329672573,0.262399533679451,0.330166923465935,0.243889819211943,-0.0953595760157647,0.387942857327079,0.174740235471898,0.228113110376772,0.325782557049557,0.123320563509267,0.108111413203568,0.302904459730601,0.187938311747278,0.244748955119708,0.184544612611194,0.24153419017642,0.290631992064221,0.0366810857216506,0.125934425440667,0.106302801939342,0.0879692472661769,0.12229646770423,0.206951156114307,0.276735004066555,0.259680596412368,0.195303225727045,-0.0643738652881401,-0.11611364879256,-0.0212322383553714,0.0538630643323874,0.0105389764324981,0.321230687304679
L03,-0.870883101661513,-0.816733197811102,-0.872851669616282,-0.89887981946862,-0.869626365886324,-0.896503192662008,-0.893414451934254,-0.809127824304969,-0.720927875877709,-0.969606554123952,-0.978788443711426,-0.927545030896497,-0.86823856469515,-0.78998198090304,-0.888999514615997,-0.829373865742476,-0.805991354939335,-0.693049078284646,-0.95827626079144,-0.877530116780958,-0.863062962710481,-0.817702179111234,-0.86511744830851,-1.12104575086479,-0.998208295891851,-0.714696768698474,-0.977250199514384,-1.11112778693275,-0.970073403151056,-0.957893172610611,-0.985973774020216,-1.04590714397738,-0.942326629545752,-0.907106378091857,-0.905258078952083,-0.890530676359784,-1.00118701713732,-0.987212560726483,-0.909345157454114,-0.717008626393549,-0.8322475196664,-0.980162188697465,-0.917409234108682,-0.956113076745838,-1.00257887928696,-1.12325777902841,-1.04964052457939,-1.18153616852968,-1.08253398560225,-1.04210516463594,-1.06671996206373,-1.03923006952631
L04,-0.27473048805179,-0.238328869505399,-0.453011634204439,-0.576251219494575,-0.384301885560892,-0.48812846331589,-0.34547474652771,-0.310134221737795,-0.27346706755546,-0.622239956656684,-0.534005829788626,-0.408594524255049,-0.102297356476771,-0.176768631186156,-0.217555852938721,-0.189275275829668,-0.0932340600719439,0.17794769719872,-0.443046623316349,-0.153407837200928,-0.2017857031503,-0.250848033110333,-0.183808491403151,-0.246112532236305,-0.320059212566762,-0.300264061182179,-0.50094224152399,-0.397819845014017,-0.37942122456634,-0.27802318016796,-0.228444541237203,-0.36607531617351,-0.294367775405619,-0.298416392181239,-0.0836658230986276,-0.246191014907007,-0.268146083681247,-0.337904173983225,-0.279604847789603,-0.211577270411639,-0.403120283979615,-0.270502652633083,-0.121301533925752,-0.159267754864836,-0.288538908610468,-0.245713016022758,-0.261211506657138,-0.428711122148153,-0.295385968170613,-0.277972254937933,-0.0765103219273852,0.0263577265071396
L05,-0.360176718255418,-0.313198948413234,-0.383271701816063,-0.383872248849209,-0.189432845980528,-0.261307694124856,-0.194028866649135,-0.3918654352708,-0.276355834447499,-0.173164212566739,-0.290725150478773,-0.375170956863762,-0.375441932893243,-0.294513009462517,-0.185690022223378,-0.284365150404912,-0.276685816300985,-0.0997179800199764,-0.292339789551896,-0.277430805661315,-0.230590928391628,-0.354545548690407,-0.41881462574443,-0.459586435193819,-0.540957398807933,-0.318016851718373,-0.262364558192421,-0.331788401474882,-0.356261596015465,-0.443076373606619,-0.52483049485113,-0.493941434263208,-0.645754514966026,-0.322787460037162,-0.453631677209832,-0.322575915488028,-0.322957013937627,-0.303073457306459,-0.310126251450514,-0.291085525655718,-0.390878882676849,-0.13744623853215,-0.377859112398727,-0.353433985842264,-0.314504812067973,-0.375651936690933,-0.543073129370087,-0.522049433947219,-0.490718411145397,-0.463540683430968,-0.426390517441633,-0.361204725241566
L06,2.46636203498186,2.18913284594357,2.31548259246385,2.07657758413698,2.41551597719823,2.46429082218317,2.04153150245372,1.82688012372313,1.93405829194357,2.02466047567454,1.97168382008298,2.15796386260649,2.14910023105411,2.22788473216111,2.35516039112689,1.9064817880963,2.51565682629561,2.3510219199282,1.74403970387257,2.16599649403804,2.08541183038746,1.64507395563366,1.88523344386073,1.71063451703648,1.81850195657837,1.99901921907424,2.24022353059624,2.39600620854205,1.50671006936275,1.81381536915492,1.85041891235143,1.52287860323106,1.81515870736941,1.81073958811443,1.90701254772904,2.12856817219941,2.17765305772174,2.02928309625442,2.14315540424881,2.37211609742126,2.13362335695616,2.39490444300721,1.69877337054907,1.73410999481141,2.0051171033941,1.95757693141624,1.81607545484286,1.62298917737355,2.03329736375583,1.75349733613177,1.92120582980624,1.82191521922046
L07,0.60119495900377,0.454801229510932,0.340795724482229,0.734386623559869,0.631481753182393,0.771651388031891,0.728237328840829,0.654079318051074,0.343687856270322,0.894576781259958,0.752632559497094,0.628770638131599,0.681384059473344,0.800395557251685,0.77647496304321,0.700302905488253,0.762937684013953,0.813339591026501,0.802505233332489,0.70425476311643,0.650381284622756,0.806264276277862,0.531696727714104,0.127941868897394,0.033566810686623,-0.037001125677578,0.0158284949762324,0.113874757633785,0.0046898173558643,0.11256308482647,0.0464533013615758,0.0449215205215889,0.0507945702680777,0.0485838614348649,-0.0249622892426509,0.122684026391749,0.0838607122982795,-0.0505588215499934,-0.179598069719974,-0.035715779088958,-0.0563212842103577,-0.188893853745411,-0.234570159510194,-0.280345946536407,-0.156758595025918,-0.174873746199517,-0.106695857106295,-0.0304097675487371,0.153395827416683,0.141424211139668,0.0537161287877449,-0.197967080397721
L08,0.995852877231256,0.620633390686199,0.487019305247568,0.710377069830755,0.808802997272705,0.939918380101789,0.708839768245848,0.750316461247903,0.650650094535685,0.657865728144049,0.723920913965171,0.634937836034825,0.50013137115362,0.743804285924534,0.831448702595647,0.778123818456363,0.667229355234214,0.660895358214768,0.528305800771481,0.61757590663919,0.62881304267588,0.444117455772894,0.447714556396031,0.439460583372622,0.419063312251137,0.557968203953534,0.524890254685984,0.780944035440326,0.806159558012554,0.938885622928861,0.578005228135598,0.546640623204864,0.670595726323857,0.699395151116925,0.456037166445262,0.761448815095897,0.651971891463133,0.566185465939499,0.624076964357083,0.713802471139715,0.54752860260939,0.486427081791115,0.653542185586089,0.281052036621362,0.540910078667421,0.74799499483425,0.621786526090014,0.605340305651966,0.552996242511401,0.712347092055864,0.570270349193242,0.340234684764738
L09,0.114532597823899,0.0338226475118251,0.666683740966668,0.55868003759371,0.515427303180016,0.294736851124236,0.52190052335828,0.648935325681374,0.468844532902275,0.220496795106632,0.340482416836056,0.432490268717524,0.486429879395599,0.34003518081404,0.414481604828337,0.239951440157691,0.350782366818235,0.34893661586652,0.466376568892619,0.606597452676223,0.384374151576187,0.482261987829451,0.381445272083512,0.346914269480618,0.254780507772526,0.460434375634224,0.266517562521924,0.626837919725991,0.481748638705041,0.481160081885877,0.511699402488865,0.722007394587835,0.468290181359858,0.325606211775012,0.254553252856575,0.239795266917554,0.460418265437323,0.465615436550852,0.593712194213687,0.4015754169017,0.683582080170465,0.370312832693578,0.263270079714829,0.206735944832092,0.140522175138665,0.0831550029281607,0.105964871773417,-0.0478074796080268,0.197310205603744,0.28981281236541,0.431124391129127,0.508111936701439
L10,-0.173841780718818,-0.33970852139663,-0.463757814284915,-0.449072321760213,-0.714609092887688,-0.333855014996951,-0.269819950754962,-0.392439257574144,-0.565399722217461,-0.287982991922341,-0.362981215543338,-0.228008539828601,-0.239800589128947,-0.261623053212818,-0.252115651605954,-0.0732999624829307,-0.280573525675556,-0.158343860329716,-0.243400843963251,-0.160653481639731,-0.202878613031786,-0.158585088607122,-0.339934515081609,-0.384474444557271,-0.242812146713912,-0.468699237594969,-0.330457480866307,-0.36683233792454,-0.290125348303052,-0.222986176255743,-0.253025635555559,-0.302678374472713,-0.18591213248534,-0.228320577681834,-0.303411632626817,-0.240435600767682,-0.184624618873474,-0.243506914150958,-0.307762403707988,-0.283784549901206,-0.286314714002295,-0.228422343856228,-0.359571883182394,-0.295467133747707,-0.177013962794827,-0.137475059901709,-0.18438547810008,-0.0305676108123484,-0.16919406706105,-0.105891125643413,-0.0497101377429757,-0.347336552205135
L11,0.268860568493022,0.11569505077695,0.0592620924895503,0.0664838313643499,0.119991390313867,-0.0238108358157568,-0.0661134339620896,-0.31685479613276,-0.164496906271464,-0.0321922001465604,-0.076543272824736,0.0987452498143017,0.304095390877637,0.148085677941641,0.0651089550415404,0.121785516238911,0.261511454020335,0.044411088023617,0.0557513539143647,0.0191380200684174,0.0159229189980177,-0.0960300745635792,-0.0842438098734741,-0.130625820095664,-0.305979055746437,-0.0585852970880762,-0.216559918227005,-0.440553916472489,-0.213779419167641,-0.25833060208152,-0.250314584033021,-0.091701817864215,-0.493936448624786,-0.120670841127689,-0.227898820047772,-0.10454525108303,-0.0446215854497798,-0.204035554677127,0.102167799529205,-0.0391130085839331,-0.0647816052103495,0.0456550704908642,0.222357296322901,0.15497933621097,0.0132035749480138,0.0410248191227623,-0.0595118324163401,-0.222354076352363,-0.143705987079524,0.0743562599301328,0.05928705471013,-0.110304525495991
